Activities by 0a616e79-e448-4a5a-abe2-059ab2d82b77
 
 我的最愛,活動名稱,活動類型,路線,開始,距離,時間,平均速度(平均步速),最高速度(最佳步速),高度增加,平均心率,最大心率,卡路里,sumStrokes,平均划水數,最少划水數,平均 SWOLF,最佳 SWOLF,訓練成效,
 false,Untitled,Running,--,"星期三, 三月 8, 2017 6:57 下午",1.20,7:48,6:29,4:49,28,134,147,74,--,--,--,--,--,1.4,
 false,Untitled,Running,--,"星期三, 三月 8, 2017 6:44 下午",0.65,4:44,7:13,3:51,6,145,159,53,--,--,--,--,--,1.5,
 false,Untitled,Running,--,"星期一, 三月 6, 2017 9:57 下午",0.57,7:07,12:34,9:45,14,114,123,46,--,--,--,--,--,1.1,
 false,Untitled,Running,--,"星期一, 三月 6, 2017 9:17 下午",4.19,23:11,5:32,3:02,6,142,164,239,--,--,--,--,--,2.2,
 false,Untitled,Running,--,"星期一, 三月 6, 2017 9:01 下午",0.58,8:48,15:04,3:50,--,116,155,60,--,--,--,--,--,1.2,
 false,Untitled,Running,--,"星期六, 三月 4, 2017 9:24 下午",1.01,11:56,11:49,8:03,13,115,126,76,--,--,--,--,--,1.2,
 false,Untitled,Running,--,"星期六, 三月 4, 2017 8:47 下午",5.03,25:44,5:07,3:57,9,164,187,321,--,--,--,--,--,3.4,
 false,Untitled,Running,--,"星期六, 三月 4, 2017 8:36 下午",0.69,9:30,13:49,3:57,3,98,118,41,--,--,--,--,--,1.0,
 false,Untitled,Running,--,"星期六, 三月 4, 2017 5:51 下午",0.42,5:58,14:13,8:56,--,67,85,19,--,--,--,--,--,1.0,
 
