Activities by 0a616e79-e448-4a5a-abe2-059ab2d82b77
 
 我的最愛,活動名稱,活動類型,路線,開始,距離,時間,平均速度(平均步速),最高速度(最佳步速),高度增加,平均心率,最大心率,卡路里,sumStrokes,平均划水數,最少划水數,平均 SWOLF,最佳 SWOLF,訓練成效,
 false,Untitled,Running,--,"星期日, 三月 26, 2017 9:03 下午",10.04,54:43,5:27,4:38,7,162,180,673,--,--,--,--,--,3.8,
 false,Untitled,Running,--,"星期日, 三月 26, 2017 8:53 下午",0.98,9:47,10:00,5:16,--,130,140,85,--,--,--,--,--,1.4,
 false,Untitled,Running,--,"星期六, 三月 25, 2017 8:09 上午",6.01,33:05,5:30,5:04,3,166,181,431,--,--,--,--,--,3.7,
 false,Untitled,Running,--,"星期四, 三月 23, 2017 9:57 下午",10.08,57:27,5:42,4:27,9,162,185,725,--,--,--,--,--,3.9,
 false,Untitled,Running,--,"星期四, 三月 23, 2017 9:50 下午",0.77,7:10,9:15,4:06,--,123,153,56,--,--,--,--,--,1.2,
 false,Untitled,Running,--,"星期一, 三月 20, 2017 11:06 下午",0.00,:02,6:00,11:18,--,79,80,0,--,--,--,--,--,1.0,
 false,Untitled,Running,--,"星期一, 三月 20, 2017 9:00 下午",8.62,47:31,5:31,4:01,10,140,158,428,--,--,--,--,--,2.2,
 false,Untitled,Running,--,"星期一, 三月 20, 2017 8:50 下午",0.83,9:20,11:16,6:17,--,109,146,54,--,--,--,--,--,1.1,
 false,Untitled,Running,--,"星期日, 三月 19, 2017 9:40 下午",8.50,48:39,5:43,4:40,9,158,171,592,--,--,--,--,--,3.5,
 false,Untitled,Running,--,"星期日, 三月 19, 2017 9:29 下午",0.85,10:07,11:54,4:35,9,98,130,46,--,--,--,--,--,1.0,
 false,Untitled,Running,--,"星期四, 三月 16, 2017 9:26 下午",8.51,48:56,5:45,3:58,--,157,173,601,--,--,--,--,--,3.5,
 false,Untitled,Running,--,"星期四, 三月 16, 2017 9:15 下午",0.80,8:52,11:04,5:18,--,103,135,46,--,--,--,--,--,1.1,
 false,Untitled,Running,--,"星期三, 三月 15, 2017 8:13 下午",1.00,15:46,15:43,3:23,6,135,170,143,--,--,--,--,--,1.9,
 false,Untitled,Running,--,"星期三, 三月 15, 2017 6:47 下午",6.80,37:42,5:33,4:15,115,160,178,481,--,--,--,--,--,3.5,
 false,Untitled,Running,--,"星期日, 三月 12, 2017 9:18 下午",6.31,34:48,5:31,4:25,4,139,164,333,--,--,--,--,--,2.1,
 false,Untitled,Running,--,"星期日, 三月 12, 2017 9:06 下午",0.71,9:10,12:50,5:06,--,106,138,52,--,--,--,--,--,1.1,
 false,Untitled,Running,--,"星期四, 三月 9, 2017 10:02 下午",5.28,30:54,5:51,4:36,4,145,159,332,--,--,--,--,--,2.5,
 false,Untitled,Running,--,"星期四, 三月 9, 2017 9:49 下午",0.51,4:28,8:49,3:54,--,138,152,46,--,--,--,--,--,1.4,
 false,Untitled,Running,--,"星期四, 三月 9, 2017 2:10 下午",2.97,30:58,10:25,3:41,12,102,143,145,--,--,--,--,--,1.2,
 false,Untitled,Running,--,"星期三, 三月 8, 2017 7:40 下午",2.50,16:41,6:40,3:01,45,164,188,218,--,--,--,--,--,2.9,
 
